Recipe Name,Ingredients,Cuisine,Meal Type,Calories,Macros,Sides 
Chicken Biryani,"chicken (150g) (Protein), rice (100g) (Grains), yogurt (2 tbsp) (Dairy), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), ginger (1 tsp) (Spices), biryani masala (1 unit) (Grains), oil (1 tbsp) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Lunch,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",Raita
Chicken Biryani,"chicken (150g) (Protein), rice (100g) (Grains), yogurt (2 tbsp) (Dairy), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), ginger (1 tsp) (Spices), biryani masala (1 unit) (Grains), oil (1 tbsp) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",Raita
Aloo Keema,"minced meat (120g) (Protein), potato (1 medium) (Vegetables), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), spice (1 tsp) (Others), oil (1 tbsp) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Dinner,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",1/2 Roti
Aloo Keema,"minced meat (120g) (Protein), potato (1 medium) (Vegetables), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), spice (1 tsp) (Others), oil (1 tbsp) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",1/2 Roti
Halwa Puri,"flour (1/2 cup) (Grains), semolina (2 tbsp) (Grains), sugar (1 tbsp) (Sugars), oil (1 tbsp) (Spices), water (1/2 cup) (Others), chickpea (50g) (Vegetables), spice (1 tsp) (Others)",Pakistani,Breakfast,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",None
Grilled Chicken Salad,"chicken breast (1 unit) (Protein), lettuce (2 leaves) (Others), cucumber (1 unit) (Vegetables), tomato (1 medium) (Vegetables), olive oil (1 unit) (Condiments), lemon juice (1 unit) (Sauces), salt (1/2 tsp) (Spices), pepper (1 unit) (Spices)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Oatmeal with Berries,"rolled oat (1/3 cup) (Others), milk (1 cup) (Dairy), blueberry (5 pcs) (Fruits), strawberry (3 pcs) (Fruits), honey (1 tsp) (Sugars)",American,Breakfast,250,"Protein: 18.8g, Carbs: 31.2g, Fat: 5.6g",None
Spaghetti Aglio e Olio,"spaghetti (1 unit) (Pasta), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments), chili flake (1 unit) (Spices), parsley (1 unit) (Herbs), salt (1/2 tsp) (Spices)",Italian,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Caprese Salad,"tomato (1 unit) (Vegetables), mozzarella (40g) (Others), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments), balsamic vinegar (1 unit) (Spices), salt (1/2 tsp) (Spices)",Italian,Lunch,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Protein Smoothie,"banana (1 medium) (Fruits), milk (1 cup) (Dairy), peanut butter (1 unit) (Dairy), protein powder (1 unit) (Protein), honey (1 tsp) (Sugars)",American,Breakfast,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
